"True","HeroineCallNameChange",""
"True","CharaMotion","0","Stand_06_00","","","","","","","","",""
"True","CharaLookNeck","0","3","0",""
"True","CharaFixMouth","0","True"
"True","CharaExpression","0","0","0","4","0.5","1","0","1","0.2","","0",""
"False","Text","[H名]","It seems that I've gotten pregnant again."
"False","Text","[P名]","Our family keeps growing, huh?"
"False","Text","[H名]","Indeed. It won't be long before our dream of taking a whole family of 10 on a ferris wheel comes true."
"False","Text","[P名]","Haha, I don't think 10 people will fit on a ferris wheel together."
"True","CharaMotion","0","Stand_27_00","","","","","","","","",""
"True","CharaExpression","0","2","31","6","","","","","","","",""
"True","CharaFixEyes","0","True"
"False","Text","[H名]","That's quite disappointing. "
"False","Close"
