"True","HeroineCallNameChange",""
"True","CharaMotion","0","Stand_21_00","","","","","","","","",""
"True","CharaLookNeck","0","3","0",""
"True","CharaFixMouth","0","True"
"True","CharaExpression","0","0","4","4","0.5","1","0","1","0","","0",""
"False","Text","[H名]","I've gotten pregnant again."
"False","Text","[P名]","I'm glad to hear that."
"True","CharaFixEyes","0","True"
"True","CharaExpression","0","12","3","","","","","","0.6","","",""
"False","Text","[H名]","Our little family is going to grow even bigger."
"True","CharaFixEyes","0","False"
"True","CharaMotion","0","Stand_Joy_01","","","","","","","","",""
"True","CharaExpression","0","12","4","","","","","","0.6","","",""
"False","Text","[H名]","I wonder which one of us this one will take after? I hope it's you. Just like the last one."
"True","CharaFixEyes","0","True"
"True","CharaExpression","0","","3","2","","","","","1","","",""
"False","Text","[H名]","I'll always love you. Please stay with me forever, okay? Your children will be waiting for you."
"False","Close"
