"True","HeroineCallNameChange",""
"True","CharaLookNeck","0","3","0",""
"True","CharaFixMouth","0","True"
"True","CharaMotion","0","Stand_27_00","","","","","","","","",""
"True","CharaExpression","0","2","15","6","0.5","1","0","1","0","","0",""
"False","Text","[H名]","I-I've gotten pregnant."
"False","Text","[P名]","Oho, that's great news!"
"False","Text","[H名]","A-Are you really sure about it?"
"False","Text","[P名]","I am. "
"True","CharaExpression","0","0","4","5","","","","","0.4","","",""
"False","Text","[H名]","O-Okay then. Guess I'll have the child. Have you thought of names yet?"
"False","Text","[P名]","Let's come up with them together."
"False","Close"
