"True","HeroineCallNameChange",""
"True","CharaMotion","0","Stand_21_00","","","","","","","","",""
"True","CharaLookNeck","0","3","0",""
"True","CharaFixMouth","0","True"
"True","CharaExpression","0","0","25","4","0.5","1","0","1","0","","0",""
"False","Text","[H名]","So, I've gotten pregnant."
"False","Text","[P名]","Have you now? That's great news!"
"True","CharaExpression","0","12","3","3","","","","","0.4","","",""
"True","CharaFixEyes","0","True"
"False","Text","[H名]","Indeed. Again, I'll take care of everything, so you don't have to worry about anything, okay?"
"False","Text","[H名]","Thank you, for giving me a baby. I'll raise it just right, up until you're ready to take us in. "
"True","CharaMotion","0","Stand_Joy_01","","","","","","","","",""
"True","CharaFixEyes","0","False"
"True","CharaExpression","0","12","4","2","","","","","0.6","","",""
"False","Text","[H名]","I'll be waiting for you."
"False","Close"
