"True","HeroineCallNameChange",""
"True","CharaMotion","0","Stand_06_00","","","","","","","","",""
"True","CharaLookNeck","0","3","0",""
"True","CharaFixMouth","0","True"
"True","CharaExpression","0","0","0","0","0.5","1","0","1","0","","0",""
"False","Text","[H名]","It seems that I've gotten pregnant."
"False","Text","[P名]","That's great news!"
"False","Text","[H名]","Indeed. I'm so happy I could die."
"False","Text","[H名]","Although dying wouldn't be nice, since our child lives within me now."
"False","Text","[P名]","It really wouldn't be. Don't even joke about that."
"False","Text","[H名]","I'm sorry. "
"True","CharaExpression","0","","","4","","","","","0.1","","",""
"False","Text","[H名]","In any case, I cannot wait until the day it's born. We'll have to have a long talk later about our life together, Papa~"
"False","Close"
